2019-10-16 20:42:46.1679 TotalError: 0, Region: Islington, London: True, Error: 0, Next: 2.3360272843333334, Change: 0
2019-10-16 20:42:46.1679 TotalError: 0, Region: Kensington And Chelsea, London: False, Error: 0, Next: 2.7012829386666666, Change: 0
2019-10-16 20:42:46.1886 TotalError: 0, Region: Kent, London: False, Error: 0, Next: 3.2125323456666663, Change: 0
2019-10-16 20:42:46.1886 TotalError: 0, Region: Kettering, London: False, Error: 0, Next: 5.141592069666666, Change: 0
2019-10-16 20:42:46.1886 TotalError: 0, Region: King's Lynn and West Norfolk , London: False, Error: 0, Next: 6.539774091666668, Change: 0
2019-10-16 20:42:46.2019 TotalError: 0, Region: Kingston upon Thames, London: True, Error: 0, Next: 0.8665550393333333, Change: 0
2019-10-16 20:42:46.2019 TotalError: 0, Region: Kirklees, London: False, Error: 0, Next: 4.843897196333333, Change: 0
2019-10-16 20:42:46.2019 TotalError: 0, Region: Knowsley, London: False, Error: 0, Next: 3.591245020666667, Change: 0
2019-10-16 20:42:46.2156 TotalError: 0, Region: Lambeth, London: True, Error: 0, Next: 0.5689058786666668, Change: 0
2019-10-16 20:42:46.2156 TotalError: 0, Region: Lancashire, London: False, Error: 0, Next: 3.854702123333333, Change: 0
2019-10-16 20:42:46.2156 TotalError: 0, Region: Lancaster, London: False, Error: 0, Next: 5.610051451333334, Change: 0
2019-10-16 20:42:46.2156 TotalError: 0, Region: Leeds, London: False, Error: 0, Next: 6.001304397999999, Change: 0
2019-10-16 20:42:46.2359 TotalError: 0, Region: Leicester, London: False, Error: 0, Next: 6.373403297333333, Change: 0
2019-10-16 20:42:46.2359 TotalError: 0, Region: Leicestershire, London: False, Error: 0, Next: 4.493224562, Change: 0
2019-10-16 20:42:46.2359 TotalError: 0, Region: Lewes, London: False, Error: 0, Next: 3.417103925333333, Change: 0
2019-10-16 20:42:46.2487 TotalError: 0, Region: Lewisham, London: True, Error: 0, Next: 3.1549256013333338, Change: 0
2019-10-16 20:42:46.2487 TotalError: 0, Region: Lichfield, London: False, Error: 0, Next: 2.999841067, Change: 0
2019-10-16 20:42:46.2487 TotalError: 0, Region: Lincoln, London: False, Error: 0, Next: 7.992997116333334, Change: 0
2019-10-16 20:42:46.2487 TotalError: 0, Region: Lincolnshire, London: False, Error: 0, Next: 6.535438095333333, Change: 0
2019-10-16 20:42:46.2661 TotalError: 0, Region: Liverpool, London: False, Error: 0, Next: 10.493718437333333, Change: 0
2019-10-16 20:42:46.2661 TotalError: 0, Region: London, London: False, Error: 0, Next: 3.256040564333333, Change: 0
2019-10-16 20:42:46.2661 TotalError: 0, Region: Luton, London: False, Error: 0, Next: 2.5651984243333334, Change: 0
2019-10-16 20:42:46.2788 TotalError: 0, Region: Maidstone, London: False, Error: 0, Next: 3.3498762786666667, Change: 0
2019-10-16 20:42:46.2788 TotalError: 0, Region: Maldon, London: False, Error: 0, Next: 3.1371660723333332, Change: 0
2019-10-16 20:42:46.2788 TotalError: 0, Region: Malvern Hills, London: False, Error: 0, Next: 6.535438095333333, Change: 0
2019-10-16 20:42:46.2936 TotalError: 0, Region: Manchester, London: False, Error: 0, Next: 7.524201949000001, Change: 0
2019-10-16 20:42:46.2936 TotalError: 0, Region: Mansfield, London: False, Error: 0, Next: 8.077222045000001, Change: 0
2019-10-16 20:42:46.2936 TotalError: 0, Region: Medway, London: False, Error: 0, Next: 3.2683831653333333, Change: 0
2019-10-16 20:42:46.2936 TotalError: 0, Region: Melton, London: False, Error: 0, Next: 7.378868343, Change: 0
2019-10-16 20:42:46.3134 TotalError: 0, Region: Mendip, London: False, Error: 0, Next: 2.052874596, Change: 0
2019-10-16 20:42:46.3134 TotalError: 0, Region: Merseyside, London: False, Error: 0, Next: 9.105443938333332, Change: 0
2019-10-16 20:42:46.3134 TotalError: 0, Region: Merthyr Tydfil, London: False, Error: 0, Next: 13.088371776666667, Change: 0
2019-10-16 20:42:46.3268 TotalError: 0, Region: Merton, London: True, Error: 0, Next: 5.636405643, Change: 0
2019-10-16 20:42:46.3268 TotalError: 0, Region: Mid Devon, London: False, Error: 0, Next: 3.5846636476666673, Change: 0
2019-10-16 20:42:46.3268 TotalError: 0, Region: Mid Suffolk, London: False, Error: 0, Next: 5.006355674666666, Change: 0
2019-10-16 20:42:46.3417 TotalError: 0, Region: Mid Sussex, London: False, Error: 0, Next: 5.403274360333334, Change: 0
2019-10-16 20:42:46.3417 TotalError: 0, Region: Middlesbrough, London: False, Error: 0, Next: 5.527524455000001, Change: 0
2019-10-16 20:42:46.3417 TotalError: 0, Region: Midlothian, London: False, Error: 0, Next: 11.594796266666668, Change: 0
